,Round,Pick #,Player Name,Position,College
0,1,1.0,Bryce Young,QB,Alabama
1,1,2.0,C. J. Stroud,QB,Ohio State
2,1,3.0,Will Anderson Jr.,LB,Alabama
3,1,4.0,Anthony Richardson,QB,Florida
4,1,5.0,Devon Witherspoon,CB,Illinois
5,1,6.0,Paris Johnson Jr.,OT,Ohio State
6,1,7.0,Tyree Wilson,DE,Texas Tech
7,1,8.0,Bijan Robinson,RB,Texas
8,1,9.0,Jalen Carter,DT,Georgia
9,1,10.0,Darnell Wright,OT,Tennessee
10,1,11.0,Peter Skoronski,OT,Northwestern
11,1,12.0,Jahmyr Gibbs,RB,Alabama
12,1,13.0,Lukas Van Ness,DE,Iowa
13,1,14.0,Broderick Jones,OT,Georgia
14,1,15.0,Will McDonald IV,DE,Iowa State
15,1,16.0,Emmanuel Forbes,CB,Mississippi State
16,1,17.0,Christian Gonzalez,CB,Oregon
17,1,18.0,Jack Campbell,LB,Iowa
18,1,19.0,Calijah Kancey,DT,Pittsburgh
19,1,20.0,Jaxon Smith-Njigba,WR,Ohio State
20,1,,Selection forfeited[Forfeit 1],Selection forfeited[Forfeit 1],Selection forfeited[Forfeit 1]
21,1,21.0,Quentin Johnston,WR,TCU
22,1,22.0,Zay Flowers,WR,Boston College
23,1,23.0,Jordan Addison,WR,USC
24,1,24.0,Deonte Banks,CB,Maryland
25,1,25.0,Dalton Kincaid,TE,Utah
26,1,26.0,Mazi Smith,DT,Michigan
27,1,27.0,Anton Harrison,OT,Oklahoma
28,1,28.0,Myles Murphy,DE,Clemson
29,1,29.0,Bryan Bresee,DT,Clemson
30,1,30.0,Nolan Smith,LB,Georgia
31,1,31.0,Felix Anudike-Uzomah,DE,Kansas State
32,2,32.0,Joey Porter Jr.,CB,Penn State
33,2,33.0,Will Levis,QB,Kentucky
34,2,34.0,Sam LaPorta,TE,Iowa
35,2,35.0,Michael Mayer,TE,Notre Dame
36,2,36.0,Steve Avila,OG,TCU
37,2,37.0,Derick Hall,OLB,Auburn
38,2,38.0,Matthew Bergeron,OG,Syracuse
39,2,39.0,Jonathan Mingo,WR,Ole Miss
40,2,40.0,Isaiah Foskey,DE,Notre Dame
41,2,41.0,BJ Ojulari,LB,LSU
42,2,42.0,Luke Musgrave,TE,Oregon State
43,2,43.0,Joe Tippmann,C,Wisconsin
44,2,44.0,JuJu Brents,CB,Kansas State
45,2,45.0,Brian Branch,S,Alabama
46,2,46.0,Keion White,DE,Georgia Tech
47,2,47.0,Jartavius Martin,S,Illinois
48,2,48.0,Cody Mauch,OG,North Dakota State
49,2,49.0,Keeanu Benton,NT,Wisconsin
50,2,50.0,Jayden Reed,WR,Michigan State
51,2,51.0,Cam Smith,CB,South Carolina
52,2,52.0,Zach Charbonnet,RB,UCLA
53,2,53.0,Gervon Dexter,DT,Florida
54,2,54.0,Tuli Tuipulotu,OLB,USC
55,2,55.0,Rashee Rice,WR,SMU
56,2,56.0,Tyrique Stevenson,CB,Miami (FL)
57,2,57.0,John Michael Schmitz,C,Minnesota
58,2,58.0,Luke Schoonmaker,TE,Michigan
59,2,59.0,O'Cyrus Torrence,OG,Florida
60,2,60.0,D. J. Turner,CB,Michigan
61,2,61.0,Brenton Strange,TE,Penn State
62,2,62.0,Juice Scruggs,C,Penn State
63,2,63.0,Marvin Mims,WR,Oklahoma
64,3,64.0,Zacch Pickens,DT,South Carolina
65,3,65.0,Tyler Steen,OT,Alabama
66,3,66.0,Sydney Brown,S,Illinois
67,3,67.0,Drew Sanders,LB,Arkansas
68,3,68.0,Hendon Hooker,QB,Tennessee
69,3,69.0,Tank Dell,WR,Houston
70,3,70.0,Byron Young,DT,Alabama
71,3,71.0,Kendre Miller,RB,TCU
72,3,72.0,Garrett Williams,CB,Syracuse
