,Unnamed: 0,Rnd.,Pick No.,NFL team,Player,Pos.,College,Conf.,Notes
0,,1,1.0,Carolina Panthers,Bryce Young,QB,Alabama,SEC,from Chicago[R1 - 1]
1,,1,2.0,Houston Texans,C. J. Stroud,QB,Ohio State,Big Ten,
2,,1,3.0,Houston Texans,Will Anderson Jr.,LB,Alabama,SEC,from Arizona[R1 - 2]
3,,1,4.0,Indianapolis Colts,Anthony Richardson,QB,Florida,SEC,
4,,1,5.0,Seattle Seahawks,Devon Witherspoon,CB,Illinois,Big Ten,from Denver[R1 - 3]
5,,1,6.0,Arizona Cardinals,Paris Johnson Jr.,OT,Ohio State,Big Ten,from LA Rams via Detroit[R1 - 4]
6,,1,7.0,Las Vegas Raiders,Tyree Wilson,DE,Texas Tech,Big 12,
7,,1,8.0,Atlanta Falcons,Bijan Robinson,RB,Texas,Big 12,
8,,1,9.0,Philadelphia Eagles,Jalen Carter,DT,Georgia,SEC,from Carolina via Chicago[R1 - 5]
9,,1,10.0,Chicago Bears,Darnell Wright,OT,Tennessee,SEC,from New Orleans via Philadelphia[R1 - 6]
10,,1,11.0,Tennessee Titans,Peter Skoronski,OT,Northwestern,Big Ten,
11,,1,12.0,Detroit Lions,Jahmyr Gibbs,RB,Alabama,SEC,from Cleveland via Houston and Arizona[R1 - 7]
12,,1,13.0,Green Bay Packers,Lukas Van Ness,DE,Iowa,Big Ten,from NY Jets[R1 - 8]
13,,1,14.0,Pittsburgh Steelers,Broderick Jones,OT,Georgia,SEC,from New England[R1 - 9]
14,,1,15.0,New York Jets,Will McDonald IV,DE,Iowa State,Big 12,from Green Bay[R1 - 10]
15,,1,16.0,Washington Commanders,Emmanuel Forbes,CB,Mississippi State,SEC,
16,,1,17.0,New England Patriots,Christian Gonzalez,CB,Oregon,Pac-12,from Pittsburgh[R1 - 11]
17,,1,18.0,Detroit Lions,Jack Campbell,LB,Iowa,Big Ten,
18,,1,19.0,Tampa Bay Buccaneers,Calijah Kancey,DT,Pittsburgh,ACC,
19,,1,20.0,Seattle Seahawks,Jaxon Smith-Njigba,WR,Ohio State,Big Ten,
20,,1,,Miami Dolphins,Selection forfeited[Forfeit 1],Selection forfeited[Forfeit 1],Selection forfeited[Forfeit 1],Selection forfeited[Forfeit 1],Selection forfeited[Forfeit 1]
21,,1,21.0,Los Angeles Chargers,Quentin Johnston,WR,TCU,Big 12,
22,,1,22.0,Baltimore Ravens,Zay Flowers,WR,Boston College,ACC,
23,,1,23.0,Minnesota Vikings,Jordan Addison,WR,USC,Pac-12,
24,,1,24.0,New York Giants,Deonte Banks,CB,Maryland,Big Ten,from Jacksonville[R1 - 12]
25,,1,25.0,Buffalo Bills,Dalton Kincaid,TE,Utah,Pac-12,from NY Giants via Jacksonville[R1 - 13]
26,,1,26.0,Dallas Cowboys,Mazi Smith,DT,Michigan,Big Ten,
27,,1,27.0,Jacksonville Jaguars,Anton Harrison,OT,Oklahoma,Big 12,from Buffalo[R1 - 14]
28,,1,28.0,Cincinnati Bengals,Myles Murphy,DE,Clemson,ACC,
29,,1,29.0,New Orleans Saints,Bryan Bresee,DT,Clemson,ACC,from San Francisco via Miami and Denver[R1 - 15]
30,,1,30.0,Philadelphia Eagles,Nolan Smith,LB,Georgia,SEC,
31,,1,31.0,Kansas City Chiefs,Felix Anudike-Uzomah,DE,Kansas State,Big 12,
32,,2,32.0,Pittsburgh Steelers,Joey Porter Jr.,CB,Penn State,Big Ten,from Chicago[R2 - 1]
33,,2,33.0,Tennessee Titans,Will Levis,QB,Kentucky,SEC,from Houston via Arizona[R2 - 2]
34,,2,34.0,Detroit Lions,Sam LaPorta,TE,Iowa,Big Ten,from Arizona[R2 - 3]
35,,2,35.0,Las Vegas Raiders,Michael Mayer,TE,Notre Dame,Ind. (FBS),from Indianapolis[R2 - 4]
36,,2,36.0,Los Angeles Rams,Steve Avila,OG,TCU,Big 12,
37,,2,37.0,Seattle Seahawks,Derick Hall,OLB,Auburn,SEC,from Denver[R2 - 5]
38,,2,38.0,Atlanta Falcons,Matthew Bergeron,OG,Syracuse,ACC,from Las Vegas via Indianapolis[R2 - 6]
39,,2,39.0,Carolina Panthers,Jonathan Mingo,WR,Ole Miss,SEC,
40,,2,40.0,New Orleans Saints,Isaiah Foskey,DE,Notre Dame,Ind. (FBS),
41,,2,41.0,Arizona Cardinals,BJ Ojulari,LB,LSU,SEC,from Tennessee[R2 - 7]
42,,2,42.0,Green Bay Packers,Luke Musgrave,TE,Oregon State,Pac-12,from Cleveland via NY Jets[R2 - 8]
43,,2,43.0,New York Jets,Joe Tippmann,C,Wisconsin,Big Ten,
44,,2,44.0,Indianapolis Colts,JuJu Brents,CB,Kansas State,Big 12,from Atlanta[R2 - 9]
45,,2,45.0,Detroit Lions,Brian Branch,S,Alabama,SEC,from Green Bay[R2 - 10]
46,,2,46.0,New England Patriots,Keion White,DE,Georgia Tech,ACC,
47,,2,47.0,Washington Commanders,Jartavius Martin,S,Illinois,Big Ten,
48,,2,48.0,Tampa Bay Buccaneers,Cody Mauch,OG,North Dakota State,MVFC,from Detroit via Green Bay[R2 - 11]
49,,2,49.0,Pittsburgh Steelers,Keeanu Benton,NT,Wisconsin,Big Ten,
50,,2,50.0,Green Bay Packers,Jayden Reed,WR,Michigan State,Big Ten,from Tampa Bay[R2 - 12]
51,,2,51.0,Miami Dolphins,Cam Smith,CB,South Carolina,SEC,
52,,2,52.0,Seattle Seahawks,Zach Charbonnet,RB,UCLA,Pac-12,
53,,2,53.0,Chicago Bears,Gervon Dexter,DT,Florida,SEC,from Baltimore[R2 - 13]
54,,2,54.0,Los Angeles Chargers,Tuli Tuipulotu,OLB,USC,Pac-12,
55,,2,55.0,Kansas City Chiefs,Rashee Rice,WR,SMU,The American,from Minnesota via Detroit[R2 - 14]
